country,langu1,langu2,langu3
US,EN,,
CA,EN,,
MX,ES,EN,
BR,PT,EN,
AR,ES,EN,
PE,ES,EN,
CL,ES,EN,
CO,ES,EN,
PR,ES,EN,
VE,ES,EN,
CR,ES,EN,
PA,ES,EN,
DE,EN,DE,
AT,EN,DE,
CH,EN,DE,
SK,EN,,
CZ,EN,,
PL,EN,PL,
HU,EN,,
UA,EN,,
UK,EN,,
BE,EN,FR,
NL,EN,NL,
FR,EN,FR,
IT,EN,,
ES,EN,ES,
PT,EN,,
GR,EN,,
IL,EN,,
TR,EN,,
IN,EN,,
ANZ,EN,,
JP,JP,EN,
KR,KR,EN,
CN,SC,EN,
TW,TC,EN,
HK,EN,,
KZ,EN,,
DK,EN,,
SE,EN,,
NO,EN,,
FI,EN,,
SA,EN,,
AE,EN,,
EG,EN,,
QA,EN,,
PK,EN,,
BH,EN,,
OM,EN,,
AL,EN,,
BA,EN,,
MK,EN,,
ME,EN,,
RS,EN,,
XK,EN,,
ZA,EN,,
KE,EN,,
NG,EN,,
MA,EN,,
GB,EN,,
IE,EN,,
SG,EN,,
MY,EN,,
TH,EN,,
ID,EN,,
PH,EN,,
MG,EN,,
SEA,EN,,

